Measurement ID,Year,Location ID,Location,Value
2015-CA-019,2015,CA-019,Fresno,12.23
2015-CA-021,2015,CA-021,Glenn,12.36
2015-CA-023,2015,CA-023,Humboldt,50.55
2015-CA-025,2015,CA-025,Imperial,2.21
2015-CA-027,2015,CA-027,Inyo,5.17
2015-CA-029,2015,CA-029,Kern,5.56
2015-CA-031,2015,CA-031,Kings,4.58
2015-CA-033,2015,CA-033,Lake,25.36
2015-CA-035,2015,CA-035,Lassen,17.23
2015-CA-037,2015,CA-037,Los Angeles,7.11
2015-CA-039,2015,CA-039,Madera,14.42
2015-CA-041,2015,CA-041,Marin,15.93
2015-CA-043,2015,CA-043,Mariposa,20
2015-CA-045,2015,CA-045,Mendocino,35.42
2015-CA-047,2015,CA-047,Merced,6.98
2015-CA-049,2015,CA-049,Modoc,16.85
2015-CA-051,2015,CA-051,Mono,14.08
2015-CA-053,2015,CA-053,Monterey,11.24
2015-CA-055,2015,CA-055,Napa,13.88
2015-CA-057,2015,CA-057,Nevada,32.08
2015-CA-059,2015,CA-059,Orange,5.91
2015-CA-061,2015,CA-061,Placer,31
2015-CA-063,2015,CA-063,Plumas,26.23
2015-CA-065,2015,CA-065,Riverside,5.43
2015-CA-067,2015,CA-067,Sacramento,9.56
2015-CA-069,2015,CA-069,San Benito,10.12
2015-CA-071,2015,CA-071,San Bernardino,5.54
2015-CA-073,2015,CA-073,San Diego,9.08
2015-CA-075,2015,CA-075,San Francisco,11.15
2015-CA-077,2015,CA-077,San Joaquin,7.69
2015-CA-079,2015,CA-079,San Luis Obispo,6.65
2015-CA-081,2015,CA-081,San Mateo,14.07
2015-CA-083,2015,CA-083,Santa Barbara,5.05
2015-CA-085,2015,CA-085,Santa Clara,13.73
2015-CA-087,2015,CA-087,Santa Cruz,17.02
2015-CA-089,2015,CA-089,Shasta,27.65
2015-CA-091,2015,CA-091,Sierra,31.09
2015-CA-093,2015,CA-093,Siskiyou,32.34
2015-CA-095,2015,CA-095,Solano,8.74
2015-CA-097,2015,CA-097,Sonoma,21.43
2015-CA-099,2015,CA-099,Stanislaus,8.63
2015-CA-101,2015,CA-101,Sutter,8.87
2015-CA-103,2015,CA-103,Tehama,19.56
2015-CA-105,2015,CA-105,Trinity,43.21
2015-CA-107,2015,CA-107,Tulare,15.27
2015-CA-109,2015,CA-109,Tuolumne,30.01
2015-CA-111,2015,CA-111,Ventura,6.82
2015-CA-113,2015,CA-113,Yolo,9.19
2015-CA-115,2015,CA-115,Yuba,19.52
2016-CA-001,2016,CA-001,Alameda,22.55
2016-CA-003,2016,CA-003,Alpine,39.63
2016-CA-005,2016,CA-005,Amador,41.01
2016-CA-007,2016,CA-007,Butte,55.96
2016-CA-009,2016,CA-009,Calaveras,40.49
2016-CA-011,2016,CA-011,Colusa,25.49
2016-CA-013,2016,CA-013,Contra Costa,22.55
2016-CA-015,2016,CA-015,Del Norte,97.59
2016-CA-017,2016,CA-017,El Dorado,53.14
2016-CA-019,2016,CA-019,Fresno,19.6
2016-CA-021,2016,CA-021,Glenn,29.61
2016-CA-023,2016,CA-023,Humboldt,79.86
2016-CA-025,2016,CA-025,Imperial,3.06
2016-CA-027,2016,CA-027,Inyo,4.91
2016-CA-029,2016,CA-029,Kern,9.21
2016-CA-031,2016,CA-031,Kings,7.61
2016-CA-033,2016,CA-033,Lake,55.34
2016-CA-035,2016,CA-035,Lassen,23.63
2016-CA-037,2016,CA-037,Los Angeles,12.59
2016-CA-039,2016,CA-039,Madera,24.08
2016-CA-041,2016,CA-041,Marin,40.81
2016-CA-043,2016,CA-043,Mariposa,34.7
2016-CA-045,2016,CA-045,Mendocino,65.92
2016-CA-047,2016,CA-047,Merced,14.46
2016-CA-049,2016,CA-049,Modoc,19.17
2016-CA-051,2016,CA-051,Mono,15.22
2016-CA-053,2016,CA-053,Monterey,20.86
2016-CA-055,2016,CA-055,Napa,36.01
2016-CA-057,2016,CA-057,Nevada,65.78
2016-CA-059,2016,CA-059,Orange,10.92
2016-CA-061,2016,CA-061,Placer,57.28
2016-CA-063,2016,CA-063,Plumas,52.75
2016-CA-065,2016,CA-065,Riverside,8.04
2016-CA-067,2016,CA-067,Sacramento,22.67
2016-CA-069,2016,CA-069,San Benito,17.65
2016-CA-071,2016,CA-071,San Bernardino,6.6
2016-CA-073,2016,CA-073,San Diego,13.17
2016-CA-075,2016,CA-075,San Francisco,28.85
2016-CA-077,2016,CA-077,San Joaquin,18.33
2016-CA-079,2016,CA-079,San Luis Obispo,16.06
2016-CA-081,2016,CA-081,San Mateo,33.08
2016-CA-083,2016,CA-083,Santa Barbara,15.99
2016-CA-085,2016,CA-085,Santa Clara,29.64
2016-CA-087,2016,CA-087,Santa Cruz,40.44
2016-CA-089,2016,CA-089,Shasta,57.21
2016-CA-091,2016,CA-091,Sierra,60.57
2016-CA-093,2016,CA-093,Siskiyou,48.93
2016-CA-095,2016,CA-095,Solano,22.86
2016-CA-097,2016,CA-097,Sonoma,49.56
2016-CA-099,2016,CA-099,Stanislaus,18.04
2016-CA-101,2016,CA-101,Sutter,21.39
2016-CA-103,2016,CA-103,Tehama,47.99
2016-CA-105,2016,CA-105,Trinity,74.92
2016-CA-107,2016,CA-107,Tulare,19.73
2016-CA-109,2016,CA-109,Tuolumne,45.14
2016-CA-111,2016,CA-111,Ventura,16.14
2016-CA-113,2016,CA-113,Yolo,22.92
2016-CA-115,2016,CA-115,Yuba,46.73
2017-CA-001,2017,CA-001,Alameda,24.97
2017-CA-003,2017,CA-003,Alpine,64.24
2017-CA-005,2017,CA-005,Amador,55.94
2017-CA-007,2017,CA-007,Butte,56.41
2017-CA-009,2017,CA-009,Calaveras,51.55
2017-CA-011,2017,CA-011,Colusa,27.44
2017-CA-013,2017,CA-013,Contra Costa,26.84
2017-CA-015,2017,CA-015,Del Norte,92.56
2017-CA-017,2017,CA-017,El Dorado,73.52
2017-CA-019,2017,CA-019,Fresno,27.16
2017-CA-021,2017,CA-021,Glenn,28.56
2017-CA-023,2017,CA-023,Humboldt,76.72
2017-CA-025,2017,CA-025,Imperial,2.82
2017-CA-027,2017,CA-027,Inyo,7.68
2017-CA-029,2017,CA-029,Kern,9.68
2017-CA-031,2017,CA-031,Kings,8.21
2017-CA-033,2017,CA-033,Lake,56.99
2017-CA-035,2017,CA-035,Lassen,28.47
2017-CA-037,2017,CA-037,Los Angeles,13.69
2017-CA-039,2017,CA-039,Madera,29.76
2017-CA-041,2017,CA-041,Marin,45.85
2017-CA-043,2017,CA-043,Mariposa,41.99
2017-CA-045,2017,CA-045,Mendocino,61.04
2017-CA-047,2017,CA-047,Merced,13.02
2017-CA-049,2017,CA-049,Modoc,21.12
2017-CA-051,2017,CA-051,Mono,26.45
2017-CA-053,2017,CA-053,Monterey,25.02
2017-CA-055,2017,CA-055,Napa,43.3
2017-CA-057,2017,CA-057,Nevada,82.59
2017-CA-059,2017,CA-059,Orange,13.2
2017-CA-061,2017,CA-061,Placer,75.84
2017-CA-063,2017,CA-063,Plumas,68.34
2017-CA-065,2017,CA-065,Riverside,7.94
2017-CA-067,2017,CA-067,Sacramento,27.87
2017-CA-069,2017,CA-069,San Benito,18.11
2017-CA-071,2017,CA-071,San Bernardino,5.56
2017-CA-073,2017,CA-073,San Diego,12.79
2017-CA-075,2017,CA-075,San Francisco,31.59
2017-CA-077,2017,CA-077,San Joaquin,19.08
