AcresBurned,Location ID,Location,MeasurementID,CountyIds,Latitude,Longitude,Month,Year
30,CA-033,Lake,2013-CA-033,17,38.9777,-122.683,9,2013
30,CA-033,Lake,2013-CA-033,17,38.99233,-122.703193,6,2013
30,CA-071,San Bernardino,2013-CA-071,36,34.288877,-116.941311,4,2013
28,CA-097,Sonoma,2013-CA-097,"49,48,17,6",38.4229,-122.0437,6,2013
28,CA-095,Solano,2013-CA-095,"49,48,17,6",38.4229,-122.0437,6,2013
28,CA-033,Lake,2013-CA-033,"49,48,17,6",38.4229,-122.0437,6,2013
28,CA-011,Colusa,2013-CA-011,"49,48,17,6",38.4229,-122.0437,6,2013
27,CA-089,Shasta,2013-CA-089,45,40.473356,-122.48259,8,2013
25,CA-073,San Diego,2013-CA-073,37,32.612773,-116.707335,7,2013
25,CA-033,Lake,2013-CA-033,17,38.98058,-122.81796,6,2013
25,CA-065,Riverside,2013-CA-065,33,33.96201,-116.907213,5,2013
23,CA-033,Lake,2013-CA-033,17,38.9289,-122.5818,11,2013
15,CA-045,Mendocino,2013-CA-045,23,0,0,12,2013
15,CA-065,Riverside,2013-CA-065,33,33.94528,-117.09306,7,2013
15,CA-039,Madera,2013-CA-039,20,0,0,5,2013
0,CA-023,Humboldt,2013-CA-023,12,41.333,-123.376,8,2013
0,CA-065,Riverside,2013-CA-065,33,33.99647,-116.84137,6,2013
97717,CA-017,El Dorado,2014-CA-017,9,38.805437,-120.629714,9,2014
50042,CA-093,Siskiyou,2014-CA-093,47,0,0,8,2014
39736,CA-089,Shasta,2014-CA-089,45,40.901,-121.368,7,2014
35302,CA-093,Siskiyou,2014-CA-093,47,42.048,-122.345,7,2014
32496,CA-093,Siskiyou,2014-CA-093,47,0,0,7,2014
32416,CA-089,Shasta,2014-CA-089,45,40.72,-121.562,7,2014
14416,CA-073,San Diego,2014-CA-073,37,0,0,5,2014
13838,CA-039,Madera,2014-CA-039,20,0,0,7,2014
13153,CA-049,Modoc,2014-CA-049,25,41.1336,-121.2144,7,2014
12661,CA-089,Shasta,2014-CA-089,45,40.4314,-122.750788,7,2014
12536,CA-045,Mendocino,2014-CA-045,23,0,0,7,2014
6488,CA-113,Yolo,2014-CA-113,57,38.512,-122.104,7,2014
6258,CA-089,Shasta,2014-CA-089,45,41.141,-122.805,7,2014
5503,CA-093,Siskiyou,2014-CA-093,47,41.682,-122.127,7,2014
5367,CA-073,San Diego,2014-CA-073,37,33.3529,-117.284889,5,2014
4840,CA-053,Monterey,2014-CA-053,27,0,0,6,2014
4772,CA-043,Mariposa,2014-CA-043,22,0,0,8,2014
4689,CA-043,Mariposa,2014-CA-043,22,0,0,7,2014
4300,CA-055,Napa,2014-CA-055,"28,17",38.664,-122.454,7,2014
4300,CA-033,Lake,2014-CA-033,"28,17",38.664,-122.454,7,2014
4240,CA-005,Amador,2014-CA-005,"3,9",38.5691,-120.7819,7,2014
4240,CA-017,El Dorado,2014-CA-017,"3,9",38.5691,-120.7819,7,2014
4045,CA-029,Kern,2014-CA-029,15,35.7206,-118.4747,8,2014
3895,CA-029,Kern,2014-CA-029,15,35.70683,-118.555527,6,2014
2143,CA-071,San Bernardino,2014-CA-071,36,34.169346,-117.547374,4,2014
1995,CA-073,San Diego,2014-CA-073,37,33.1137,-117.1599,5,2014
1952,CA-037,Los Angeles,2014-CA-037,19,34.1703,-117.8816,1,2014
1680,CA-029,Kern,2014-CA-029,15,35.642,-118.15,7,2014
1651,CA-049,Modoc,2014-CA-049,25,41.89,-120.79,7,2014
1548,CA-073,San Diego,2014-CA-073,37,33.003,-117.133,5,2014
1469,CA-049,Modoc,2014-CA-049,25,41.489,-120.904,7,2014
1457,CA-073,San Diego,2014-CA-073,37,33.417572,-117.550567,5,2014
1375,CA-089,Shasta,2014-CA-089,45,40.7101,-122.171,9,2014
1080,CA-043,Mariposa,2014-CA-043,22,0,0,7,2014
968,CA-059,Orange,2014-CA-059,30,33.748,-117.601,9,2014
865,CA-103,Tehama,2014-CA-103,52,40.134597,-121.790183,1,2014
677,CA-043,Mariposa,2014-CA-043,22,0,0,5,2014
632,CA-083,Santa Barbara,2014-CA-083,42,34.609,-120.454,5,2014
612,CA-039,Madera,2014-CA-039,20,37.3433,-119.6581,8,2014
600,CA-073,San Diego,2014-CA-073,37,33.1109,-117.279,5,2014
580,CA-105,Trinity,2014-CA-105,53,40.7412,-122.946,8,2014
516,CA-093,Siskiyou,2014-CA-093,47,41.42384,-122.37432,9,2014
487,CA-109,Tuolumne,2014-CA-109,55,37.76617,-120.45087,6,2014
459,CA-061,Placer,2014-CA-061,31,0,0,10,2014
403,CA-045,Mendocino,2014-CA-045,23,0,0,9,2014
400,CA-053,Monterey,2014-CA-053,27,36.6313,-121.4819,3,2014
389,CA-007,Butte,2014-CA-007,4,0,0,7,2014
380,CA-073,San Diego,2014-CA-073,37,33.312,-117.162,5,2014
350,CA-065,Riverside,2014-CA-065,33,0,0,3,2014
333,CA-023,Humboldt,2014-CA-023,12,40.884415,-123.773779,1,2014
320,CA-039,Madera,2014-CA-039,20,37.311915,-119.604124,9,2014
311,CA-043,Mariposa,2014-CA-043,22,37,40.34,10,2014
300,CA-043,Mariposa,2014-CA-043,22,0,0,9,2014
300,CA-047,Merced,2014-CA-047,24,0,0,7,2014
274,CA-037,Los Angeles,2014-CA-037,19,34.267,-117.867,8,2014
269,CA-109,Tuolumne,2014-CA-109,55,37.787,-120.452,6,2014
247,CA-057,Nevada,2014-CA-057,29,39.113682,-120.999508,9,2014
225,CA-103,Tehama,2014-CA-103,52,40.009827,-122.345078,6,2014
217,CA-073,San Diego,2014-CA-073,37,33.078948,-116.576454,7,2014
210,CA-023,Humboldt,2014-CA-023,12,41.134,-123.753,9,2014
190,CA-037,Los Angeles,2014-CA-037,19,34.235,-117.771,8,2014
175,CA-033,Lake,2014-CA-033,17,39.1647,-122.5983,5,2014
143,CA-089,Shasta,2014-CA-089,45,40.6569,-122.2215,7,2014
130,CA-043,Mariposa,2014-CA-043,22,37.7103,-120.197,6,2014
125,CA-085,Santa Clara,2014-CA-085,43,0,0,6,2014
125,CA-073,San Diego,2014-CA-073,37,32.81,-116.49,3,2014
120,CA-009,Calaveras,2014-CA-009,5,120.679019,38.178241,6,2014
120,CA-061,Placer,2014-CA-061,31,0,0,1,2014
113,CA-027,Inyo,2014-CA-027,14,37.399,-118.352,4,2014
106,CA-019,Fresno,2014-CA-019,10,36.8266,-119.3415,1,2014
105,CA-073,San Diego,2014-CA-073,37,0,0,5,2014
101,CA-049,Modoc,2014-CA-049,25,41.507,-121.266,8,2014
100,CA-033,Lake,2014-CA-033,17,0,0,9,2014
100,CA-065,Riverside,2014-CA-065,33,0,0,9,2014
94,CA-017,El Dorado,2014-CA-017,9,38.59,-120.028,9,2014
90,CA-043,Mariposa,2014-CA-043,22,0,0,6,2014
85,CA-009,Calaveras,2014-CA-009,5,38.058,-120.66,6,2014
84,CA-057,Nevada,2014-CA-057,29,39.3918,-120.0805,8,2014
80,CA-085,Santa Clara,2014-CA-085,43,0,0,8,2014
80,CA-013,Contra Costa,2014-CA-013,7,37.5359,-121.5118,7,2014
79,CA-043,Mariposa,2014-CA-043,22,0,0,9,2014
78,CA-065,Riverside,2014-CA-065,33,0,0,7,2014
75,CA-089,Shasta,2014-CA-089,45,40.5719,-121.3415,7,2014
75,CA-053,Monterey,2014-CA-053,27,36.103,-121.117,4,2014
72,CA-007,Butte,2014-CA-007,4,39.4664,-121.6129,7,2014
70,CA-109,Tuolumne,2014-CA-109,55,37.8316,-120.3434,9,2014
70,CA-029,Kern,2014-CA-029,15,0,0,7,2014
70,CA-095,Solano,2014-CA-095,48,121.999,38.453,6,2014
65,CA-027,Inyo,2014-CA-027,14,0,0,9,2014
62,CA-045,Mendocino,2014-CA-045,23,0,0,9,2014
60,CA-007,Butte,2014-CA-007,4,0,0,1,2014
57,CA-065,Riverside,2014-CA-065,33,33.5982,-116.1985,3,2014
56,CA-073,San Diego,2014-CA-073,37,0,0,5,2014
50,CA-089,Shasta,2014-CA-089,45,40.39,-122.721,5,2014
48,CA-071,San Bernardino,2014-CA-071,36,33.93869,-117.70643,10,2014
47,CA-079,San Luis Obispo,2014-CA-079,",40",35.8218,-121.0226,7,2014
40,CA-019,Fresno,2014-CA-019,10,36.991825,-119.525506,6,2014
38,CA-057,Nevada,2014-CA-057,29,39.1871,-121.2687,7,2014
37,CA-023,Humboldt,2014-CA-023,12,0,0,8,2014
37,CA-099,Stanislaus,2014-CA-099,50,0,0,5,2014
31,CA-065,Riverside,2014-CA-065,33,0,0,6,2014
30,CA-093,Siskiyou,2014-CA-093,47,0,0,7,2014
30,CA-017,El Dorado,2014-CA-017,9,38.608336,-120.703238,7,2014
29,CA-073,San Diego,2014-CA-073,37,32.665,-116.222,5,2014
27,CA-055,Napa,2014-CA-055,28,38.695961,-122.384054,9,2014
25,CA-111,Ventura,2014-CA-111,56,0,0,9,2014
25,CA-089,Shasta,2014-CA-089,45,40,29.24,8,2014
25,CA-019,Fresno,2014-CA-019,10,36.742747,-119.241493,6,2014
20,CA-017,El Dorado,2014-CA-017,9,38.9195001,-120.1140659,9,2014
20,CA-073,San Diego,2014-CA-073,37,32.59154,-116.89516,8,2014
18,CA-023,Humboldt,2014-CA-023,12,0,0,1,2014
15,CA-105,Trinity,2014-CA-105,53,40.41,-123.24,7,2014
14,CA-061,Placer,2014-CA-061,31,0,0,7,2014
14,CA-065,Riverside,2014-CA-065,33,0,0,6,2014
10,CA-039,Madera,2014-CA-039,20,37,18.4,8,2014
6,CA-055,Napa,2014-CA-055,28,0,0,8,2014
0,CA-093,Siskiyou,2014-CA-093,47,41.796,-123.374,8,2014
151623,CA-019,Fresno,2015-CA-019,10,36.874,-118.905,7,2015
77081,CA-105,Trinity,2015-CA-105,53,0,0,7,2015
69438,CA-033,Lake,2015-CA-033,17,38.8863538,-122.4762475,7,2015
36503,CA-105,Trinity,2015-CA-105,53,0,0,7,2015
31359,CA-071,San Bernardino,2015-CA-071,36,34.16027778,-116.8927778,6,2015
30361,CA-015,Del Norte,2015-CA-015,8,0,0,7,2015
29416,CA-105,Trinity,2015-CA-105,53,0,0,7,2015
25118,CA-033,Lake,2015-CA-033,"17,28",38.8142503,-122.4867319,8,2015
25118,CA-055,Napa,2015-CA-055,"17,28",38.8142503,-122.4867319,8,2015
10570,CA-035,Lassen,2015-CA-035,18,40.938,-120.105,8,2015
7509,CA-015,Del Norte,2015-CA-015,8,0,0,8,2015
7000,CA-027,Inyo,2015-CA-027,"14,26",0,0,2,2015
7000,CA-051,Mono,2015-CA-051,"14,26",0,0,2,2015
6980,CA-107,Tulare,2015-CA-107,54,36.24,-118.54,7,2015
5702,CA-039,Madera,2015-CA-039,20,37.279722,-119.50014,7,2015
4883,CA-023,Humboldt,2015-CA-023,12,0,0,7,2015
4863,CA-049,Modoc,2015-CA-049,25,41.399,-121.392,7,2015
4250,CA-071,San Bernardino,2015-CA-071,36,34.339,-117.478,7,2015
3676,CA-051,Mono,2015-CA-051,26,0,0,8,2015
2700,CA-001,Alameda,2015-CA-001,1,37.3845,-121.3732,8,2015
2446,CA-079,San Luis Obispo,2015-CA-079,40,35.3477,-120.6269,8,2015
2304,CA-057,Nevada,2015-CA-057,29,39.192088,-120.882313,7,2015
1850,CA-073,San Diego,2015-CA-073,37,0,0,8,2015
1791,CA-079,San Luis Obispo,2015-CA-079,40,0,0,6,2015
1542,CA-105,Trinity,2015-CA-105,53,40.924,-123.168,6,2015
1450,CA-047,Merced,2015-CA-047,24,0,0,7,2015
1333,CA-047,Merced,2015-CA-047,24,0,0,7,2015
1086,CA-053,Monterey,2015-CA-053,27,36.3699644,-121.589554,9,2015
1049,CA-065,Riverside,2015-CA-065,33,33.884313,-117.642759,4,2015
1042,CA-007,Butte,2015-CA-007,4,39.5218,-121.3363,9,2015
920,CA-039,Madera,2015-CA-039,20,37.165767,-119.523943,6,2015
860,CA-007,Butte,2015-CA-007,4,0,0,10,2015
673,CA-033,Lake,2015-CA-033,17,55.23,-122,9,2015
670,CA-069,San Benito,2015-CA-069,35,36.70854,-121.32734,10,2015
543,CA-065,Riverside,2015-CA-065,33,33.5736,-116.5387,8,2015
509,CA-051,Mono,2015-CA-051,26,0,0,2,2015
500,CA-039,Madera,2015-CA-039,20,0,0,6,2015
430,CA-107,Tulare,2015-CA-107,54,36.085212,-118.824235,7,2015
415,CA-043,Mariposa,2015-CA-043,22,0,0,9,2015
415,CA-037,Los Angeles,2015-CA-037,19,34.361007,-118.535793,6,2015
400,CA-007,Butte,2015-CA-007,4,39.43963,-121.38794,7,2015
374,CA-037,Los Angeles,2015-CA-037,19,0,0,8,2015
355,CA-005,Amador,2015-CA-005,3,0,0,7,2015
300,CA-037,Los Angeles,2015-CA-037,19,0,0,8,2015
300,CA-001,Alameda,2015-CA-001,1,0,0,6,2015
282,CA-111,Ventura,2015-CA-111,56,0,0,8,2015
275,CA-047,Merced,2015-CA-047,24,37.08312,-121.06963,5,2015
242,CA-001,Alameda,2015-CA-001,1,0,0,5,2015
227,CA-045,Mendocino,2015-CA-045,23,0,0,7,2015
215,CA-085,Santa Clara,2015-CA-085,43,0,0,9,2015
215,CA-033,Lake,2015-CA-033,17,38.925764,-122.879272,8,2015
214,CA-059,Orange,2015-CA-059,30,33.7626,-117.7274,7,2015
212,CA-089,Shasta,2015-CA-089,45,40.415108,-122.439939,7,2015
211,CA-083,Santa Barbara,2015-CA-083,42,0,0,6,2015
204,CA-109,Tuolumne,2015-CA-109,55,37.823,-120.15644,7,2015
200,CA-037,Los Angeles,2015-CA-037,19,34.367,-117.683,7,2015
200,CA-093,Siskiyou,2015-CA-093,47,41.485,-121.851,2,2015
195,CA-013,Contra Costa,2015-CA-013,7,37.81629,-121.68113,7,2015
186,CA-111,Ventura,2015-CA-111,56,0,0,8,2015
181,CA-093,Siskiyou,2015-CA-093,47,41.8048,-122.5029,7,2015
171,CA-073,San Diego,2015-CA-073,37,32.9421,-116.8534,6,2015
170,CA-019,Fresno,2015-CA-019,10,40.400196,-120.553075,9,2015
170,CA-103,Tehama,2015-CA-103,52,39.8448,-122.3638,7,2015
167,CA-029,Kern,2015-CA-029,15,0,0,8,2015
167,CA-073,San Diego,2015-CA-073,37,33.383889,-116.868611,7,2015
164,CA-111,Ventura,2015-CA-111,56,0,0,6,2015
158,CA-023,Humboldt,2015-CA-023,12,41.295667,-123.784067,7,2015
158,CA-115,Yuba,2015-CA-115,58,39.2688,-121.26471,6,2015
150,CA-095,Solano,2015-CA-095,48,38.4113,-122.0789,7,2015
150,CA-065,Riverside,2015-CA-065,33,0,0,7,2015
146,CA-023,Humboldt,2015-CA-023,12,40.1058823,-124.0720419,8,2015
137,CA-063,Plumas,2015-CA-063,32,40.05083333,-120.7016667,4,2015
135,CA-039,Madera,2015-CA-039,20,37.072561,-119.6958,6,2015
128,CA-105,Trinity,2015-CA-105,53,40.724898,-122.96174,8,2015
122,CA-077,San Joaquin,2015-CA-077,39,0,0,6,2015
116,CA-049,Modoc,2015-CA-049,25,41.29226,-121.172117,7,2015
114,CA-009,Calaveras,2015-CA-009,5,38.052,-120.5577,8,2015
112,CA-109,Tuolumne,2015-CA-109,55,37.83618,-120.61691,8,2015
111,CA-035,Lassen,2015-CA-035,18,0,0,6,2015
110,CA-067,Sacramento,2015-CA-067,34,0,0,9,2015
110,CA-103,Tehama,2015-CA-103,52,40.3506868,-121.7786799,8,2015
110,CA-061,Placer,2015-CA-061,31,0,0,6,2015
109,CA-089,Shasta,2015-CA-089,45,40.47512,-122.52541,9,2015
108,CA-109,Tuolumne,2015-CA-109,55,38.04684,-120.30188,9,2015
104,CA-007,Butte,2015-CA-007,4,39.8707,-121.8938,10,2015
100,CA-071,San Bernardino,2015-CA-071,36,34.165974,-117.243878,6,2015
95,CA-053,Monterey,2015-CA-053,27,36.5696373,-121.7556029,9,2015
95,CA-079,San Luis Obispo,2015-CA-079,40,35.7183,-121.0157,7,2015
90,CA-089,Shasta,2015-CA-089,45,40.49865,-122.20109,7,2015
86,CA-107,Tulare,2015-CA-107,54,36.49845,-118.9009,7,2015
80,CA-073,San Diego,2015-CA-073,37,32.6449163,-116.9454387,6,2015
80,CA-065,Riverside,2015-CA-065,33,0,0,6,2015
77,CA-049,Modoc,2015-CA-049,25,40.856422,-121.101623,7,2015
75,CA-089,Shasta,2015-CA-089,45,40.67868,-121.93244,8,2015
75,CA-089,Shasta,2015-CA-089,45,40.509552,-122.199227,7,2015
75,CA-017,El Dorado,2015-CA-017,9,38.776,-120.404,7,2015
75,CA-007,Butte,2015-CA-007,4,0,0,7,2015
72,CA-007,Butte,2015-CA-007,4,26.42,-121,9,2015
