Measurement ID,Year,Location ID,Location,Min Temp,Max Temp,Avg Temp
2020-CA-035,2020,CA-035,Lassen,34.8,63.3,49.1
2020-CA-037,2020,CA-037,Los Angeles,51.2,75.1,63.2
2020-CA-039,2020,CA-039,Madera,44.8,71.4,58.1
2020-CA-041,2020,CA-041,Marin,48.6,67.6,58.1
2020-CA-043,2020,CA-043,Mariposa,44.3,70.9,57.6
2020-CA-045,2020,CA-045,Mendocino,45.3,70,57.7
2020-CA-047,2020,CA-047,Merced,50.4,76.4,63.4
2020-CA-049,2020,CA-049,Modoc,34.9,62.9,48.9
2020-CA-051,2020,CA-051,Mono,31.9,61.4,46.6
2020-CA-053,2020,CA-053,Monterey,45.7,75,60.4
2020-CA-055,2020,CA-055,Napa,48.2,75.1,61.7
2020-CA-057,2020,CA-057,Nevada,41.8,67.4,54.6
2020-CA-059,2020,CA-059,Orange,55.5,76.5,66
2020-CA-061,2020,CA-061,Placer,43.5,68.5,56
2020-CA-063,2020,CA-063,Plumas,35.3,63.2,49.3
2020-CA-065,2020,CA-065,Riverside,56.8,83.3,70.1
2020-CA-067,2020,CA-067,Sacramento,50.4,78.3,64.4
2020-CA-069,2020,CA-069,San Benito,46.9,74,60.4
2020-CA-071,2020,CA-071,San Bernardino,55.4,81,68.2
2020-CA-073,2020,CA-073,San Diego,51.2,78.1,64.7
2020-CA-075,2020,CA-075,San Francisco,50.6,67.8,59.2
2020-CA-077,2020,CA-077,San Joaquin,50.6,78.5,64.5
2020-CA-079,2020,CA-079,San Luis Obispo,46.6,75.6,61.1
2020-CA-081,2020,CA-081,San Mateo,48.5,69.6,59.1
2020-CA-083,2020,CA-083,Santa Barbara,47.4,73,60.2
2020-CA-085,2020,CA-085,Santa Clara,48.4,72.5,60.4
2020-CA-087,2020,CA-087,Santa Cruz,47.1,71.6,59.4
2020-CA-089,2020,CA-089,Shasta,44,70.7,57.4
2020-CA-091,2020,CA-091,Sierra,35.9,62.7,49.3
2020-CA-093,2020,CA-093,Siskiyou,38.4,63.1,50.8
2020-CA-095,2020,CA-095,Solano,49.9,76.4,63.1
2020-CA-097,2020,CA-097,Sonoma,47.2,71.6,59.4
2020-CA-099,2020,CA-099,Stanislaus,50.2,76.6,63.4
2020-CA-101,2020,CA-101,Sutter,51.1,79.1,65.1
2020-CA-103,2020,CA-103,Tehama,48.5,73.7,61.1
2020-CA-105,2020,CA-105,Trinity,41.4,67.9,54.6
2020-CA-107,2020,CA-107,Tulare,43.9,68.2,56
2020-CA-109,2020,CA-109,Tuolumne,40,65.3,52.6
2020-CA-111,2020,CA-111,Ventura,46.3,71.9,59.1
2020-CA-113,2020,CA-113,Yolo,49.9,78.2,64
2020-CA-115,2020,CA-115,Yuba,49.8,76.2,63
