UniqueID,MeasurementID,AcresBurned,Latitude,Longitude,Month,Year,LocationID,Location,Rainfall,MinTemp,MaxTemp,AvgTemp
2013-6-CA-039-75,2013-CA-039,75,37.169379,-119.75636,6,2013,CA-039,Madera,6.64,43.4,70.9,57.2
2013-6-CA-043-1708,2013-CA-043,1708,37.58202,-119.91071,6,2013,CA-043,Mariposa,9.39,42.8,69.8,56.3
2013-11-CA-045-82,2013-CA-045,82,39.0442,-123.1478,11,2013,CA-045,Mendocino,15.5,43.2,68.7,56
2013-7-CA-045-45,2013-CA-045,45,38.980846,-123.067671,7,2013,CA-045,Mendocino,15.5,43.2,68.7,56
2013-9-CA-045-98,2013-CA-045,98,38.9252,-122.966,9,2013,CA-045,Mendocino,15.5,43.2,68.7,56
2013-6-CA-047-124,2013-CA-047,124,37.03776,-121.006939,6,2013,CA-047,Merced,3.5,49.4,76.6,63
2013-9-CA-049-97,2013-CA-049,97,41.73325,-120.375,9,2013,CA-049,Modoc,10.81,32.4,61.1,46.8
2013-7-CA-049-502,2013-CA-049,502,41.2415,-121.035,7,2013,CA-049,Modoc,10.81,32.4,61.1,46.8
2013-9-CA-049-68,2013-CA-049,68,41.569,-120.959,9,2013,CA-049,Modoc,10.81,32.4,61.1,46.8
2013-6-CA-053-105,2013-CA-053,105,36.1531,-120.8973,6,2013,CA-053,Monterey,4.18,44.2,74.1,59.1
2013-10-CA-055-376,2013-CA-055,376,38.628,-122.289,10,2013,CA-055,Napa,6.72,46.1,74.1,60.1
2013-11-CA-055-190,2013-CA-055,190,38.382,-122.311,11,2013,CA-055,Napa,6.72,46.1,74.1,60.1
2013-4-CA-055-75,2013-CA-055,75,38.441792,-122.350844,4,2013,CA-055,Napa,6.72,46.1,74.1,60.1
2013-8-CA-057-52,2013-CA-057,52,39.333401,-121.107022,8,2013,CA-057,Nevada,15.56,40.3,66.1,53.2
2013-10-CA-059-40,2013-CA-059,40,33.7655,-117.6649,10,2013,CA-059,Orange,4.21,54,74.6,64.3
2013-8-CA-061-27440,2013-CA-061,27440,39.12,-120.65,8,2013,CA-061,Placer,14.6,41.7,67.5,54.6
2013-6-CA-061-237,2013-CA-061,237,38.729297,-121.380862,6,2013,CA-061,Placer,14.6,41.7,67.5,54.6
2013-8-CA-063-513,2013-CA-063,513,40.00842,-120.764666,8,2013,CA-063,Plumas,12.06,33.8,61.9,47.9
2013-8-CA-065-1383,2013-CA-065,1383,33.62236,-117.40288,8,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-124,2013-CA-065,124,33.963591,-117.187934,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-25,2013-CA-065,25,33.96201,-116.907213,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-3166,2013-CA-065,3166,34.288877,-116.941311,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-40,2013-CA-065,40,33.655638,-116.161201,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-510,2013-CA-065,510,33.894055,-116.855019,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-5-CA-065-90,2013-CA-065,90,33.9582,-116.6534,5,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-6-CA-065-0,2013-CA-065,0,33.99647,-116.84137,6,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-6-CA-065-40,2013-CA-065,40,34.001745,-117.302057,6,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-6-CA-065-42,2013-CA-065,42,33.96936,-117.1265,6,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-7-CA-065-15,2013-CA-065,15,33.94528,-117.09306,7,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-7-CA-065-150,2013-CA-065,150,33.990128,-117.164997,7,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-7-CA-065-27531,2013-CA-065,27531,33.7095,-116.72885,7,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-7-CA-065-40,2013-CA-065,40,33.9634,-117.2508,7,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-8-CA-065-20292,2013-CA-065,20292,33.86157,-116.90427,8,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-8-CA-065-40,2013-CA-065,40,33.570291,-116.10815,8,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-8-CA-065-60,2013-CA-065,60,33.91027,-116.99895,8,2013,CA-065,Riverside,4.87,55.6,82.1,68.9
2013-7-CA-067-163,2013-CA-067,163,38.63987,-121.08438,7,2013,CA-067,Sacramento,6.41,48.5,76.8,62.7
2013-5-CA-069-354,2013-CA-069,354,37.160346,-120.937494,5,2013,CA-069,San Benito,3.53,46.1,73.4,59.7
2013-6-CA-071-534,2013-CA-071,534,34.071556,-117.048397,6,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-8-CA-071-97,2013-CA-071,97,33.642,-116.706,8,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-7-CA-071-75,2013-CA-071,75,34.316,-117.352,7,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-9-CA-071-73,2013-CA-071,73,34.003151,-117.106075,9,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-9-CA-071-200,2013-CA-071,200,34.2,-117.417,9,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-8-CA-071-413,2013-CA-071,413,34.302,-117.598,8,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-8-CA-071-243,2013-CA-071,243,34.35,-117.62,8,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-8-CA-071-110,2013-CA-071,110,34.287,-117.451,8,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-4-CA-071-30,2013-CA-071,30,34.288877,-116.941311,4,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-5-CA-071-75,2013-CA-071,75,34.1834,-117.4408,5,2013,CA-071,San Bernardino,4.37,54.3,79.7,67
2013-7-CA-073-25,2013-CA-073,25,32.612773,-116.707335,7,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-7-CA-073-7055,2013-CA-073,7055,32.95435,-116.47381,7,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-5-CA-073-2781,2013-CA-073,2781,33.12111,-116.52579,5,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-5-CA-073-1271,2013-CA-073,1271,33.04458,-116.5209,5,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-5-CA-073-100,2013-CA-073,100,32.564465,-116.900368,5,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-10-CA-073-2236,2013-CA-073,2236,33.341,-117.3092,10,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-9-CA-073-263,2013-CA-073,263,32.710918,-116.746023,9,2013,CA-073,San Diego,7.86,50.1,76.7,63.4
2013-5-CA-077-303,2013-CA-077,303,38.04993,-120.90325,5,2013,CA-077,San Joaquin,5.06,48.1,76.2,62.2
2013-7-CA-079-85,2013-CA-079,85,35.62743,-120.83417,7,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-5-CA-079-50,2013-CA-079,50,35.5123,-120.6368,5,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-5-CA-079-35,2013-CA-079,35,35.49864,-120.91375,5,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-11-CA-079-51,2013-CA-079,51,35.457978,-120.751555,11,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-9-CA-079-94,2013-CA-079,94,35.4393,-120.8358,9,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-6-CA-079-500,2013-CA-079,500,35.15832,-120.05131,6,2013,CA-079,San Luis Obispo,3.12,46,75.3,60.6
2013-9-CA-081-41,2013-CA-081,41,37.667295,-122.427285,9,2013,CA-081,San Mateo,6.19,46.9,67.5,57.2
2013-5-CA-083-1984,2013-CA-083,1984,34.55048,-119.82429,5,2013,CA-083,Santa Barbara,3.94,46.2,71.8,59
2013-5-CA-083-170,2013-CA-083,170,34.611824,-120.074655,5,2013,CA-083,Santa Barbara,3.94,46.2,71.8,59
2013-7-CA-085-50,2013-CA-085,50,37.1438,-121.7804,7,2013,CA-085,Santa Clara,5.12,46.8,71,58.9
2013-12-CA-085-40,2013-CA-085,40,37.342186,-121.717706,12,2013,CA-085,Santa Clara,5.12,46.8,71,58.9
2013-8-CA-089-27,2013-CA-089,27,40.473356,-122.48259,8,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-11-CA-089-33,2013-CA-089,33,40.483662,-122.140914,11,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-7-CA-089-43,2013-CA-089,43,40.373,-122.7338,7,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-9-CA-089-8073,2013-CA-089,8073,40.498332,-122.535496,9,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-8-CA-089-196,2013-CA-089,196,40.5445,-121.3754,8,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-8-CA-093-50,2013-CA-093,50,41.923323,-122.578393,8,2013,CA-093,Siskiyou,16.12,36.8,62.7,49.8
2013-7-CA-093-14754,2013-CA-093,14754,41.32,-123.176,7,2013,CA-093,Siskiyou,16.12,36.8,62.7,49.8
2013-6-CA-095-28,2013-CA-095,28,38.4229,-122.0437,6,2013,CA-095,Solano,5.1,47.8,75.2,61.5
2013-6-CA-095-124,2013-CA-095,124,38.08744,-122.13802,6,2013,CA-095,Solano,5.1,47.8,75.2,61.5
2013-5-CA-097-125,2013-CA-097,125,38.638828,-122.655616,5,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
2013-10-CA-097-159,2013-CA-097,159,38.34599,-122.6503,10,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
2013-7-CA-097-158,2013-CA-097,158,38.17693,-122.51253,7,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
2013-6-CA-097-28,2013-CA-097,28,38.4229,-122.0437,6,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
