MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2013-CA-081,2013,CA-081,San Mateo,6.19,46.9,67.5,57.2
2013-CA-083,2013,CA-083,Santa Barbara,3.94,46.2,71.8,59
2013-CA-085,2013,CA-085,Santa Clara,5.12,46.8,71,58.9
2013-CA-087,2013,CA-087,Santa Cruz,6.07,45.3,70.6,58
2013-CA-089,2013,CA-089,Shasta,14.77,42.5,69.9,56.2
2013-CA-091,2013,CA-091,Sierra,13.57,34.3,61.4,47.8
2013-CA-093,2013,CA-093,Siskiyou,16.12,36.8,62.7,49.8
2013-CA-095,2013,CA-095,Solano,5.1,47.8,75.2,61.5
2013-CA-097,2013,CA-097,Sonoma,10.12,44.8,70.2,57.5
2013-CA-099,2013,CA-099,Stanislaus,4.37,48,75.8,61.9
2013-CA-101,2013,CA-101,Sutter,6.57,49.2,77.8,63.5
2013-CA-103,2013,CA-103,Tehama,11.42,46.7,73.1,59.9
2013-CA-105,2013,CA-105,Trinity,19.11,39.7,67.1,53.4
2013-CA-107,2013,CA-107,Tulare,6.87,42.8,68.3,55.6
2013-CA-109,2013,CA-109,Tuolumne,12.64,37.9,64,51
2013-CA-111,2013,CA-111,Ventura,4.93,46.1,72.6,59.3
2013-CA-113,2013,CA-113,Yolo,5.79,47.8,77.1,62.5
2013-CA-115,2013,CA-115,Yuba,11.15,48,75.1,61.5
2014-CA-001,2014,CA-001,Alameda,19.88,51.1,72.8,62
2014-CA-003,2014,CA-003,Alpine,29.38,35.4,58.2,46.8
2014-CA-005,2014,CA-005,Amador,31.29,48.6,73.3,61
2014-CA-007,2014,CA-007,Butte,43.72,50,74.9,62.4
2014-CA-009,2014,CA-009,Calaveras,29.56,48.3,74,61.1
2014-CA-011,2014,CA-011,Colusa,28.67,50.7,78,64.4
2014-CA-013,2014,CA-013,Contra Costa,21.07,51.4,74,62.7
2014-CA-015,2014,CA-015,Del Norte,67.16,44.9,64.9,54.9
2014-CA-017,2014,CA-017,El Dorado,39.91,45.1,68.2,56.7
2014-CA-019,2014,CA-019,Fresno,12.44,46,72,59
2014-CA-021,2014,CA-021,Glenn,31.68,49.9,76,63
2014-CA-023,2014,CA-023,Humboldt,54.59,46.2,67.2,56.7
2014-CA-025,2014,CA-025,Imperial,2.06,63,90,76.5
2014-CA-027,2014,CA-027,Inyo,4.68,50.3,76.8,63.6
2014-CA-029,2014,CA-029,Kern,6.17,51.6,78.3,65
2014-CA-031,2014,CA-031,Kings,6.15,53.4,81,67.2
2014-CA-033,2014,CA-033,Lake,48.5,47.8,72.3,60.1
2014-CA-035,2014,CA-035,Lassen,20.3,36.7,63.5,50.1
2014-CA-037,2014,CA-037,Los Angeles,10.32,52.6,77,64.8
2014-CA-039,2014,CA-039,Madera,13.96,46,72.6,59.3
2014-CA-041,2014,CA-041,Marin,40.24,50,67.5,58.8
2014-CA-043,2014,CA-043,Mariposa,19.44,45.2,71.5,58.4
2014-CA-045,2014,CA-045,Mendocino,55.43,46.5,69.6,58.1
2014-CA-047,2014,CA-047,Merced,10.12,52.1,78.2,65.1
2014-CA-049,2014,CA-049,Modoc,18.21,36.4,63,49.7
2014-CA-051,2014,CA-051,Mono,10.68,33.1,61.3,47.2
2014-CA-053,2014,CA-053,Monterey,19.93,47.5,75.8,61.7
2014-CA-055,2014,CA-055,Napa,33.28,49,75,62
2014-CA-057,2014,CA-057,Nevada,48.42,42.9,67.1,55
2014-CA-059,2014,CA-059,Orange,7.63,56.6,77.3,67
2014-CA-061,2014,CA-061,Placer,42.03,44.3,68.6,56.4
2014-CA-063,2014,CA-063,Plumas,39.05,37,63.5,50.2
2014-CA-065,2014,CA-065,Riverside,5.23,57.6,83.9,70.8
2014-CA-067,2014,CA-067,Sacramento,18.89,51.6,78.2,64.9
2014-CA-069,2014,CA-069,San Benito,15.71,49.1,75.2,62.2
2014-CA-071,2014,CA-071,San Bernardino,4.82,56.4,81.7,69
2014-CA-073,2014,CA-073,San Diego,8.07,52.8,79,65.8
2014-CA-075,2014,CA-075,San Francisco,28.74,52,67.6,59.8
2014-CA-077,2014,CA-077,San Joaquin,14.4,51.1,77.8,64.5
2014-CA-079,2014,CA-079,San Luis Obispo,12.18,48.7,76.7,62.7
2014-CA-081,2014,CA-081,San Mateo,28.55,50.1,69.1,59.6
2014-CA-083,2014,CA-083,Santa Barbara,13.21,49,74.6,61.8
2014-CA-085,2014,CA-085,Santa Clara,24.39,49.3,72.7,61
2014-CA-087,2014,CA-087,Santa Cruz,33.51,48.6,71.7,60.2
2014-CA-089,2014,CA-089,Shasta,44.52,45,70.8,57.9
2014-CA-091,2014,CA-091,Sierra,41.88,37.2,62.7,50
2014-CA-093,2014,CA-093,Siskiyou,36.62,39.8,63.8,51.8
2014-CA-095,2014,CA-095,Solano,22.04,51,76.1,63.5
2014-CA-097,2014,CA-097,Sonoma,44.19,48.3,71.1,59.7
2014-CA-099,2014,CA-099,Stanislaus,14.42,50.9,77.1,64
2014-CA-101,2014,CA-101,Sutter,20.03,52.2,79.1,65.6
2014-CA-103,2014,CA-103,Tehama,42.34,49.3,73.6,61.5
2014-CA-105,2014,CA-105,Trinity,55.3,42.7,68,55.4
2014-CA-107,2014,CA-107,Tulare,14.47,45,70.1,57.6
2014-CA-109,2014,CA-109,Tuolumne,30.42,40.8,65.4,53.1
2014-CA-111,2014,CA-111,Ventura,14.86,47.8,74.2,61
2014-CA-113,2014,CA-113,Yolo,21.62,51,78.4,64.7
2014-CA-115,2014,CA-115,Yuba,38.61,50.8,75.9,63.4
2015-CA-001,2015,CA-001,Alameda,10.39,50.2,71.9,61
2015-CA-003,2015,CA-003,Alpine,30.36,35.1,57.5,46.3
2015-CA-005,2015,CA-005,Amador,26.66,47.8,72.9,60.4
2015-CA-007,2015,CA-007,Butte,20.74,49,74.8,62
2015-CA-009,2015,CA-009,Calaveras,25.26,47.8,73.5,60.6
2015-CA-011,2015,CA-011,Colusa,11.92,50,77.8,63.9
2015-CA-013,2015,CA-013,Contra Costa,9.28,50.7,73.3,62
2015-CA-015,2015,CA-015,Del Norte,69.35,44.8,64.5,54.7
2015-CA-017,2015,CA-017,El Dorado,32.49,44.5,68.1,56.3
2015-CA-019,2015,CA-019,Fresno,12.23,45,70.3,57.6
2015-CA-021,2015,CA-021,Glenn,12.36,49.2,75.9,62.6
2015-CA-023,2015,CA-023,Humboldt,50.55,45.7,67.2,56.5
2015-CA-025,2015,CA-025,Imperial,2.21,63,88.7,75.9
2015-CA-027,2015,CA-027,Inyo,5.17,49.5,75.2,62.4
2015-CA-029,2015,CA-029,Kern,5.56,50.4,77.1,63.8
2015-CA-031,2015,CA-031,Kings,4.58,52.3,79,65.6
2015-CA-033,2015,CA-033,Lake,25.36,47.3,72.5,59.9
2015-CA-035,2015,CA-035,Lassen,17.23,36.2,63.2,49.7
2015-CA-037,2015,CA-037,Los Angeles,7.11,52.3,75.9,64.1
2015-CA-039,2015,CA-039,Madera,14.42,45.5,71.2,58.4
2015-CA-041,2015,CA-041,Marin,15.93,49.3,67.3,58.3
2015-CA-043,2015,CA-043,Mariposa,20,44.5,70.5,57.5
2015-CA-045,2015,CA-045,Mendocino,35.42,46,70,58
2015-CA-047,2015,CA-047,Merced,6.98,51.1,76.8,64
2015-CA-049,2015,CA-049,Modoc,16.85,36.2,63.4,49.8
2015-CA-051,2015,CA-051,Mono,14.08,32.7,60.2,46.4
2015-CA-053,2015,CA-053,Monterey,11.24,46.6,75,60.8
2015-CA-055,2015,CA-055,Napa,13.88,48.3,74.7,61.6
2015-CA-057,2015,CA-057,Nevada,32.08,42.5,67.1,54.8
2015-CA-059,2015,CA-059,Orange,5.91,56.7,77.3,67
2015-CA-061,2015,CA-061,Placer,31,43.8,68.3,56
2015-CA-063,2015,CA-063,Plumas,26.23,36.6,63.4,50
2015-CA-065,2015,CA-065,Riverside,5.43,57.4,82.6,70
2015-CA-067,2015,CA-067,Sacramento,9.56,50.7,77.6,64.1
2015-CA-069,2015,CA-069,San Benito,10.12,47.8,74.3,61.1
2015-CA-071,2015,CA-071,San Bernardino,5.54,55.8,80.5,68.1
2015-CA-073,2015,CA-073,San Diego,9.08,52.2,77.7,64.9
2015-CA-075,2015,CA-075,San Francisco,11.15,51.3,67.3,59.4
2015-CA-077,2015,CA-077,San Joaquin,7.69,50.2,77.5,63.9
2015-CA-079,2015,CA-079,San Luis Obispo,6.65,47.5,75.4,61.4
2015-CA-081,2015,CA-081,San Mateo,14.07,49.5,68.8,59.2
2015-CA-083,2015,CA-083,Santa Barbara,5.05,48.6,73.8,61.2
2015-CA-085,2015,CA-085,Santa Clara,13.73,48.5,72.2,60.4
2015-CA-087,2015,CA-087,Santa Cruz,17.02,47.8,72.4,60.1
2015-CA-089,2015,CA-089,Shasta,27.65,44.9,71,58
2015-CA-091,2015,CA-091,Sierra,31.09,36.7,62.6,49.7
2015-CA-093,2015,CA-093,Siskiyou,32.34,39.9,64,51.9
2015-CA-095,2015,CA-095,Solano,8.74,50,75.6,62.8
2015-CA-097,2015,CA-097,Sonoma,21.43,47.6,71.2,59.4
2015-CA-099,2015,CA-099,Stanislaus,8.63,49.9,76.3,63.1
2015-CA-101,2015,CA-101,Sutter,8.87,51.2,78.7,65
2015-CA-103,2015,CA-103,Tehama,19.56,48.8,73.7,61.3
2015-CA-105,2015,CA-105,Trinity,43.21,42.5,68.6,55.6
2015-CA-107,2015,CA-107,Tulare,15.27,44,68.5,56.2
2015-CA-109,2015,CA-109,Tuolumne,30.01,40.3,64.5,52.5
2015-CA-111,2015,CA-111,Ventura,6.82,47.7,73.6,60.7
2015-CA-113,2015,CA-113,Yolo,9.19,50,77.8,63.9
2015-CA-115,2015,CA-115,Yuba,19.52,50.1,75.9,63
2016-CA-001,2016,CA-001,Alameda,22.55,49.9,70.8,60.4
2016-CA-003,2016,CA-003,Alpine,39.63,34.8,57,45.9
2016-CA-005,2016,CA-005,Amador,41.01,47.1,71.4,59.2
2016-CA-007,2016,CA-007,Butte,55.96,48.5,73.1,60.8
