MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2019-CA-057,2019,CA-057,Nevada,66.92,40.3,63.5,51.9
2019-CA-059,2019,CA-059,Orange,21.24,54.1,73.6,63.9
2019-CA-061,2019,CA-061,Placer,61.82,41.9,65,53.4
2019-CA-063,2019,CA-063,Plumas,56.14,34.8,59.4,47.1
2019-CA-065,2019,CA-065,Riverside,12.78,55.6,79.7,67.6
2019-CA-067,2019,CA-067,Sacramento,25.88,50.2,75.5,62.9
2019-CA-069,2019,CA-069,San Benito,22.97,46.7,71.4,59.1
2019-CA-071,2019,CA-071,San Bernardino,10.79,53.7,77.3,65.5
2019-CA-073,2019,CA-073,San Diego,21.17,50.1,74.8,62.4
2019-CA-075,2019,CA-075,San Francisco,29.56,50.4,65.6,58
2019-CA-077,2019,CA-077,San Joaquin,17.6,50.1,76,63.1
2019-CA-079,2019,CA-079,San Luis Obispo,23.65,46.4,73,59.7
2019-CA-081,2019,CA-081,San Mateo,34.33,48.9,67.2,58
2019-CA-083,2019,CA-083,Santa Barbara,26.65,46.9,70.2,58.6
2019-CA-085,2019,CA-085,Santa Clara,32.17,47.7,70,58.8
2019-CA-087,2019,CA-087,Santa Cruz,46.24,47.4,69.7,58.6
2019-CA-089,2019,CA-089,Shasta,54.84,43,67.5,55.3
2019-CA-091,2019,CA-091,Sierra,60.82,34.9,58.7,46.8
2019-CA-093,2019,CA-093,Siskiyou,39.49,37.5,60.4,49
2019-CA-095,2019,CA-095,Solano,28.79,49.7,73.6,61.7
2019-CA-097,2019,CA-097,Sonoma,57.85,47.1,68.7,57.9
2019-CA-099,2019,CA-099,Stanislaus,17.77,50,74.7,62.3
2019-CA-101,2019,CA-101,Sutter,28.23,50.6,76.1,63.4
2019-CA-103,2019,CA-103,Tehama,48.44,47.4,70.3,58.8
2019-CA-105,2019,CA-105,Trinity,66.14,40.6,65.1,52.9
2019-CA-107,2019,CA-107,Tulare,29.53,42.6,65.5,54
2019-CA-109,2019,CA-109,Tuolumne,52.12,38,61.6,49.9
2019-CA-111,2019,CA-111,Ventura,31.01,46.3,69,57.7
2019-CA-113,2019,CA-113,Yolo,33.14,49.6,75.2,62.4
2019-CA-115,2019,CA-115,Yuba,52.15,48.8,72.9,60.9
2020-CA-001,2020,CA-001,Alameda,8.42,50.7,72.6,61.7
2020-CA-003,2020,CA-003,Alpine,20.43,34.3,58.2,46.3
2020-CA-005,2020,CA-005,Amador,20.32,48,72.8,60.5
2020-CA-007,2020,CA-007,Butte,19.16,49,75.4,62.2
2020-CA-009,2020,CA-009,Calaveras,18.94,47.8,73.7,60.8
2020-CA-011,2020,CA-011,Colusa,6.88,50.6,77.6,64.1
2020-CA-013,2020,CA-013,Contra Costa,7.23,51.2,74.2,62.7
2020-CA-015,2020,CA-015,Del Norte,55.93,43.2,63.4,53.3
2020-CA-017,2020,CA-017,El Dorado,25.9,44.5,68.2,56.4
2020-CA-019,2020,CA-019,Fresno,9.62,44.4,70.5,57.5
2020-CA-021,2020,CA-021,Glenn,7.22,49.3,75.8,62.6
2020-CA-023,2020,CA-023,Humboldt,37.65,44.8,66.9,55.8
2020-CA-025,2020,CA-025,Imperial,2.69,61.2,89.7,75.5
2020-CA-027,2020,CA-027,Inyo,2.99,49.6,75.7,62.7
2020-CA-029,2020,CA-029,Kern,6.05,50.2,76.6,63.4
2020-CA-031,2020,CA-031,Kings,4.54,51.3,79,65.2
2020-CA-033,2020,CA-033,Lake,17.02,47.3,72.1,59.7
2020-CA-035,2020,CA-035,Lassen,10.81,34.8,63.3,49.1
2020-CA-037,2020,CA-037,Los Angeles,10.89,51.2,75.1,63.2
2020-CA-039,2020,CA-039,Madera,11.06,44.8,71.4,58.1
2020-CA-041,2020,CA-041,Marin,13.07,48.6,67.6,58.1
2020-CA-043,2020,CA-043,Mariposa,15.77,44.3,70.9,57.6
2020-CA-045,2020,CA-045,Mendocino,22.11,45.3,70,57.7
2020-CA-047,2020,CA-047,Merced,5.78,50.4,76.4,63.4
2020-CA-049,2020,CA-049,Modoc,12.91,34.9,62.9,48.9
2020-CA-051,2020,CA-051,Mono,7.71,31.9,61.4,46.6
2020-CA-053,2020,CA-053,Monterey,10.21,45.7,75,60.4
2020-CA-055,2020,CA-055,Napa,10.32,48.2,75.1,61.7
2020-CA-057,2020,CA-057,Nevada,27.42,41.8,67.4,54.6
2020-CA-059,2020,CA-059,Orange,9.57,55.5,76.5,66
2020-CA-061,2020,CA-061,Placer,24.95,43.5,68.5,56
2020-CA-063,2020,CA-063,Plumas,21.66,35.3,63.2,49.3
2020-CA-065,2020,CA-065,Riverside,6.62,56.8,83.3,70.1
2020-CA-067,2020,CA-067,Sacramento,8.06,50.4,78.3,64.4
2020-CA-069,2020,CA-069,San Benito,8.76,46.9,74,60.4
2020-CA-071,2020,CA-071,San Bernardino,4.44,55.4,81,68.2
2020-CA-073,2020,CA-073,San Diego,11.35,51.2,78.1,64.7
2020-CA-075,2020,CA-075,San Francisco,9.44,50.6,67.8,59.2
2020-CA-077,2020,CA-077,San Joaquin,6.6,50.6,78.5,64.5
2020-CA-079,2020,CA-079,San Luis Obispo,9.31,46.6,75.6,61.1
2020-CA-081,2020,CA-081,San Mateo,10.94,48.5,69.6,59.1
2020-CA-083,2020,CA-083,Santa Barbara,11.34,47.4,73,60.2
2020-CA-085,2020,CA-085,Santa Clara,12.67,48.4,72.5,60.4
2020-CA-087,2020,CA-087,Santa Cruz,14.59,47.1,71.6,59.4
2020-CA-089,2020,CA-089,Shasta,23.29,44,70.7,57.4
2020-CA-091,2020,CA-091,Sierra,24.33,35.9,62.7,49.3
2020-CA-093,2020,CA-093,Siskiyou,23.22,38.4,63.1,50.8
2020-CA-095,2020,CA-095,Solano,6.51,49.9,76.4,63.1
2020-CA-097,2020,CA-097,Sonoma,14.86,47.2,71.6,59.4
2020-CA-099,2020,CA-099,Stanislaus,6.79,50.2,76.6,63.4
2020-CA-101,2020,CA-101,Sutter,6.57,51.1,79.1,65.1
2020-CA-103,2020,CA-103,Tehama,16.5,48.5,73.7,61.1
2020-CA-105,2020,CA-105,Trinity,28.13,41.4,67.9,54.6
2020-CA-107,2020,CA-107,Tulare,11.62,43.9,68.2,56
2020-CA-109,2020,CA-109,Tuolumne,21.07,40,65.3,52.6
2020-CA-111,2020,CA-111,Ventura,12.11,46.3,71.9,59.1
2020-CA-113,2020,CA-113,Yolo,6.36,49.9,78.2,64
2020-CA-115,2020,CA-115,Yuba,18.02,49.8,76.2,63
